Variables,Beta Ratio,
IND_costdiff_secondlast_lstransaction1,1.075985936,
IND_car_age_last3coverage1,1.044803497,
Ind_duration_previous_last_secondlast_different1,0.823037902,
A1,1.181207685,
A2,0.996138674,
E1,0.916919862,
Z_time_diff_last_secondlast,0.750266051,
Ind_A_same_first_to_last_switch_likelihood1,1.000480161,
Ind_G_same_first_to_last_switch_likelihood1,1.063292112,
Ind_C_equalto_most_popular_C_in_state_switch_likelihood1,0.998469048,
Ind_E_equalto_most_popular_E_in_state_switch_likelihood1,0.933910739,
Ind_B_same_first_to_last_switch_likelihood1,1.002114222,
Ind_B_equalto_most_popular_B_in_state_switch_likelihood1,0.46219092,
Ind_D_equalto_most_popular_D_in_state_switch_likelihood1,1.123203349,
Ind_C_same_first_to_last_switch_likelihood1,0.999655947,
Z_totalcount,1.081074198,
Z_cost_positivecount,1.160237925,
IND_time_06_121,0.84833685,
