ON Train Data,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
  Deciles,Count of pred,Sum of Responses,Cummulative Response,% of Events,Gain,Cummulative Lift,Column1,,,,,,,,,,,,,,Column1,,,0,0
1,6791,6791,6791,43%,43%,4.33,,,,,,,,,,,,,,,10,,,10,43.25208086
2,6791,4599,11390,29%,73%,3.63,,,,,,,,,,,,,,,20,,,20,72.33947681
3,6790,1501,12891,10%,82%,2.74,,,,,,,,,,,,,,,30,,,30,82.46135553
4,6791,1014,13905,6%,89%,2.21,,,,,,,,,,,,,,,40,,,40,88.73365042
5,6791,732,14637,5%,93%,1.86,,,,,,,,,,,,,,,50,,,50,93.56420927
6,6790,518,15155,3%,97%,1.61,,,,,,,,,,,,,,,60,,,60,96.59631391
7,6791,322,15477,2%,99%,1.41,,,,,,,,,,,,,,,70,,,70,98.45422117
8,6790,146,15623,1%,100%,1.24,,,,,,,,,,,,,,,80,,,80,99.49464923
9,6791,61,15684,0%,100%,1.11,,,,,,,,,,,,,,,90,,,90,99.89595719
10,6791,17,15701,0%,100%,1.00,,,,,,,,,,,,,,,100,,,100,100
,67907,15701,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Deciles,Count of pred,Sum of Responses, % correct Response,%  wrong Responses,Cummulative % correct,Cummulative % wrong ,KS  Stat,,,,,,,,,,,,,,,,,,
1,6791,6791,43%,0%,43%,0%,43%,,,,,,,,,,,,,,,,,,
2,6791,4599,29%,4%,73%,4%,68%,,,,,,,,,,,,,,,,,,
3,6790,1501,10%,10%,82%,14%,68%,,,,,,,,,,,,,,,,,,
4,6791,1014,6%,11%,89%,25%,63%,,,,,,,,,,,,,,,,,,
5,6791,732,5%,12%,93%,37%,56%,,,,,,,,,,,,,,,,,,
6,6790,518,3%,12%,97%,49%,48%,,,,,,,,,,,,,,,,,,
7,6791,322,2%,12%,99%,61%,37%,,,,,,,,,,,,,,,,,,
8,6790,146,1%,13%,100%,74%,25%,,,,,,,,,,,,,,,,,,
9,6791,61,0%,13%,100%,87%,13%,,,,,,,,,,,,,,,,,,
10,6791,17,0%,13%,100%,100%,0%,,,,,,,,,,,,,,,,,,
,67907,15701,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Prediction,,,,,,,,,,,,,,,,,,,,,,,,
Actual,1,0,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,,,,,
